USAGE_DATE,FACILITY_NAME,attendance,Holidays,Weekends
2018-06-01,PortAventura World,46804,0,0
2018-06-02,PortAventura World,57940,0,1
2018-06-03,PortAventura World,44365,0,1
2018-06-04,PortAventura World,37617,0,0
2018-06-05,PortAventura World,32438,0,0
2018-06-06,PortAventura World,28399,0,0
2018-06-07,PortAventura World,39436,0,0
2018-06-08,PortAventura World,36459,0,0
2018-06-09,PortAventura World,52664,0,1
2018-06-10,PortAventura World,47025,0,1
2018-06-11,PortAventura World,34984,0,0
2018-06-12,PortAventura World,34307,0,0
2018-06-13,PortAventura World,41448,0,0
2018-06-14,PortAventura World,41817,0,0
2018-06-15,PortAventura World,42530,0,0
2018-06-16,PortAventura World,54361,0,1
2018-06-17,PortAventura World,39359,0,1
2018-06-18,PortAventura World,37090,0,0
2018-06-19,PortAventura World,41024,0,0
2018-06-20,PortAventura World,40455,0,0
2018-06-21,PortAventura World,42193,0,0
2018-06-22,PortAventura World,41569,0,0
2018-06-23,PortAventura World,58821,0,1
2018-06-24,PortAventura World,49889,0,1
2018-06-25,PortAventura World,53176,0,0
2018-06-26,PortAventura World,52876,0,0
2018-06-27,PortAventura World,50993,0,0
2018-06-28,PortAventura World,51994,0,0
2018-06-29,PortAventura World,50478,0,0
2018-06-30,PortAventura World,58315,0,1
2018-07-01,PortAventura World,48253,0,1
2018-07-02,PortAventura World,47915,0,0
2018-07-03,PortAventura World,46968,0,0
2018-07-04,PortAventura World,49858,0,0
2018-07-05,PortAventura World,47216,0,0
2018-07-06,PortAventura World,43111,0,0
2018-07-07,PortAventura World,53368,0,1
2018-07-08,PortAventura World,45474,0,1
2018-07-09,PortAventura World,47896,0,0
2018-07-10,PortAventura World,48277,0,0
2018-07-11,PortAventura World,47003,0,0
2018-07-12,PortAventura World,49209,0,0
2018-07-13,PortAventura World,37971,0,0
2018-07-14,PortAventura World,56394,0,1
2018-07-15,PortAventura World,37457,0,1
2018-07-16,PortAventura World,44653,0,0
2018-07-17,PortAventura World,51942,0,0
2018-07-18,PortAventura World,52475,0,0
2018-07-19,PortAventura World,49957,0,0
2018-07-20,PortAventura World,38078,0,0
2018-07-21,PortAventura World,59066,0,1
2018-07-22,PortAventura World,50531,0,1
2018-07-23,PortAventura World,54214,0,0
2018-07-24,PortAventura World,58843,0,0
2018-07-25,PortAventura World,53768,0,0
2018-07-26,PortAventura World,51283,0,0
2018-07-27,PortAventura World,42794,0,0
2018-07-28,PortAventura World,60031,0,1
2018-07-29,PortAventura World,50327,0,1
2018-07-30,PortAventura World,53319,0,0
2018-07-31,PortAventura World,56054,0,0
2018-08-01,PortAventura World,54946,0,0
2018-08-02,PortAventura World,52467,0,0
2018-08-03,PortAventura World,44528,0,0
2018-08-04,PortAventura World,48875,0,1
2018-08-05,PortAventura World,44848,0,1
2018-08-06,PortAventura World,55363,0,0
2018-08-07,PortAventura World,56383,0,0
2018-08-08,PortAventura World,72199,0,0
2018-08-09,PortAventura World,46583,0,0
2018-08-10,PortAventura World,64516,0,0
2018-08-11,PortAventura World,61914,0,1
2018-08-12,PortAventura World,55194,0,1
2018-08-13,PortAventura World,45891,0,0
2018-08-14,PortAventura World,61948,0,0
2018-08-15,PortAventura World,53729,1,0
2018-08-16,PortAventura World,57342,0,0
2018-08-17,PortAventura World,53883,0,0
2018-08-18,PortAventura World,63711,0,1
2018-08-19,PortAventura World,55109,0,1
2018-08-20,PortAventura World,57740,0,0
2018-08-21,PortAventura World,63759,0,0
2018-08-22,PortAventura World,60196,0,0
2018-08-23,PortAventura World,77261,0,0
2018-08-24,PortAventura World,53529,0,0
2018-08-25,PortAventura World,55503,0,1
2018-08-26,PortAventura World,54330,0,1
2018-08-27,PortAventura World,58609,0,0
2018-08-28,PortAventura World,69559,0,0
2018-08-29,PortAventura World,43659,0,0
2018-08-30,PortAventura World,61159,0,0
2018-08-31,PortAventura World,54800,0,0
2018-09-01,PortAventura World,57367,0,1
2018-09-02,PortAventura World,39488,0,1
2018-09-03,PortAventura World,39006,0,0
2018-09-04,PortAventura World,39373,0,0
2018-09-05,PortAventura World,39887,0,0
2018-09-06,PortAventura World,39810,0,0
2018-09-07,PortAventura World,38951,0,0
2018-09-08,PortAventura World,58206,0,1
2018-09-09,PortAventura World,42245,0,1
2018-09-10,PortAventura World,34200,0,0
2018-09-11,PortAventura World,33832,0,0
2018-09-12,PortAventura World,33776,0,0
2018-09-13,PortAventura World,26274,0,0
2018-09-14,PortAventura World,28164,0,0
2018-09-15,PortAventura World,65538,0,1
2018-09-16,PortAventura World,38398,0,1
2018-09-17,PortAventura World,23472,0,0
2018-09-18,PortAventura World,23130,0,0
2018-09-19,PortAventura World,25394,0,0
2018-09-20,PortAventura World,25841,0,0
2018-09-21,PortAventura World,23372,0,0
2018-09-22,PortAventura World,57207,0,1
2018-09-23,PortAventura World,30642,0,1
2018-09-24,PortAventura World,26803,0,0
2018-09-25,PortAventura World,23003,0,0
2018-09-26,PortAventura World,26494,0,0
2018-09-27,PortAventura World,33657,0,0
2018-09-28,PortAventura World,30020,0,0
2018-09-29,PortAventura World,51281,0,1
2018-09-30,PortAventura World,35059,0,1
2018-10-01,PortAventura World,25133,0,0
2018-10-02,PortAventura World,22445,0,0
2018-10-03,PortAventura World,25118,0,0
2018-10-04,PortAventura World,30598,0,0
2018-10-05,PortAventura World,34499,0,0
2018-10-06,PortAventura World,56522,0,1
2018-10-07,PortAventura World,35015,0,1
2018-10-08,PortAventura World,31405,0,0
2018-10-09,PortAventura World,31077,0,0
2018-10-10,PortAventura World,33234,0,0
2018-10-11,PortAventura World,29926,0,0
2018-10-12,PortAventura World,34840,1,0
2018-10-13,PortAventura World,62452,0,1
2018-10-14,PortAventura World,43957,0,1
2018-10-15,PortAventura World,35839,0,0
2018-10-16,PortAventura World,36601,0,0
2018-10-17,PortAventura World,34549,0,0
2018-10-18,PortAventura World,34626,0,0
2018-10-19,PortAventura World,35897,0,0
2018-10-20,PortAventura World,62256,0,1
2018-10-21,PortAventura World,64262,0,1
2018-10-22,PortAventura World,53397,0,0
2018-10-23,PortAventura World,60327,0,0
2018-10-24,PortAventura World,55532,0,0
2018-10-25,PortAventura World,59155,0,0
2018-10-26,PortAventura World,49955,0,0
2018-10-27,PortAventura World,53644,0,1
2018-10-28,PortAventura World,50868,0,1
2018-10-29,PortAventura World,48929,0,0
2018-10-30,PortAventura World,43201,0,0
2018-10-31,PortAventura World,64137,0,0
2018-11-01,PortAventura World,54615,1,0
2018-11-02,PortAventura World,80123,0,0
2018-11-03,PortAventura World,65140,0,1
2018-11-04,PortAventura World,39899,0,1
2018-11-05,PortAventura World,21204,0,0
2018-11-06,PortAventura World,17709,0,0
2018-11-07,PortAventura World,14673,0,0
2018-11-08,PortAventura World,21227,0,0
2018-11-09,PortAventura World,25432,0,0
2018-11-10,PortAventura World,45241,0,1
2018-11-11,PortAventura World,38117,0,1
2018-11-12,PortAventura World,25105,0,0
2018-11-13,PortAventura World,29034,0,0
2018-11-14,PortAventura World,27534,0,0
2018-11-15,PortAventura World,28199,0,0
2018-11-16,PortAventura World,62679,0,0
2018-11-17,PortAventura World,57083,0,1
2018-11-18,PortAventura World,50966,0,1
2018-11-19,PortAventura World,28305,0,0
2018-11-20,PortAventura World,18513,0,0
2018-11-21,PortAventura World,24621,0,0
2018-11-22,PortAventura World,27794,0,0
2018-11-23,PortAventura World,48311,0,0
2018-11-24,PortAventura World,57748,0,1
2018-11-25,PortAventura World,44645,0,1
2018-11-26,PortAventura World,27289,0,0
2018-11-27,PortAventura World,23748,0,0
2018-11-28,PortAventura World,22016,0,0
2018-11-29,PortAventura World,23474,0,0
2018-11-30,PortAventura World,46645,0,0
