REF_CLOSING_DESCRIPTION,Attraction,ENTITY_TYPE,DEB_TIME,FIN_TIME,UPDATE_TIME,WORK_DATE,Holidays,Weekends
,Spiral Slide,ATTR,2018-01-01 08:30:00.000,2018-01-01 18:29:00.000,2018-01-02 07:53:26.000,2018-01-01,1,0
,Kiddie Coaster,ATTR,2018-01-01 10:00:00.000,2018-01-01 17:07:00.000,2018-01-02 07:51:31.000,2018-01-01,1,0
,Rapids Ride,ATTR,2018-01-01 09:29:00.000,2018-01-01 17:08:00.000,2018-01-02 07:51:31.000,2018-01-01,1,0
,PortAventura World,PARK,2018-01-01 10:00:00.000,2018-01-01 22:00:00.000,2018-01-02 07:57:06.000,2018-01-01,1,0
,Roller Coaster,ATTR,2018-01-01 10:00:00.000,2018-01-01 17:44:00.000,2018-01-02 07:46:01.000,2018-01-01,1,0
,PortAventura World,PARK,2018-01-01 08:30:00.000,2018-01-01 09:30:00.000,2018-01-02 07:57:06.000,2018-01-01,1,0
,Inverted Coaster,ATTR,2018-01-01 09:43:00.000,2018-01-01 17:00:00.000,2018-01-02 07:52:37.000,2018-01-01,1,0
,Dizzy Dropper,ATTR,2018-01-01 08:30:00.000,2018-01-01 21:14:00.000,2018-01-02 07:50:30.000,2018-01-01,1,0
,Crazy Dance,ATTR,2018-01-01 09:12:00.000,2018-01-01 22:00:00.000,2018-01-02 07:43:47.000,2018-01-01,1,0
,Superman Ride,ATTR,2018-01-01 09:37:00.000,2018-01-01 17:00:00.000,2018-01-02 07:52:37.000,2018-01-01,1,0
,Giga Coaster,ATTR,2018-01-01 08:56:00.000,2018-01-01 21:14:00.000,2018-01-02 07:51:31.000,2018-01-01,1,0
,Bumper Cars,ATTR,2018-01-01 08:30:00.000,2018-01-01 21:05:00.000,2018-01-02 07:51:31.000,2018-01-01,1,0
,Swing Ride,ATTR,2018-01-01 08:30:00.000,2018-01-01 21:14:00.000,2018-01-02 07:50:30.000,2018-01-01,1,0
,Spinning Coaster,ATTR,2018-01-01 09:06:00.000,2018-01-01 22:00:00.000,2018-01-02 07:46:01.000,2018-01-01,1,0
,Drop Tower,ATTR,2018-01-01 08:30:00.000,2018-01-01 21:08:00.000,2018-01-02 07:50:30.000,2018-01-01,1,0
,Haunted House,ATTR,2018-01-01 09:38:00.000,2018-01-01 20:54:00.000,2018-01-02 07:50:30.000,2018-01-01,1,0
,Go-Karts,ATTR,2018-01-01 09:23:00.000,2018-01-01 22:10:00.000,2018-01-02 07:46:01.000,2018-01-01,1,0
,Circus Train,ATTR,2018-01-01 09:17:00.000,2018-01-01 17:14:00.000,2018-01-02 07:51:31.000,2018-01-01,1,0
,Giant Wheel,ATTR,2018-01-01 09:25:00.000,2018-01-01 22:11:00.000,2018-01-02 07:52:37.000,2018-01-01,1,0
,Zipline,ATTR,2018-01-01 09:25:00.000,2018-01-01 22:10:00.000,2018-01-02 07:48:33.000,2018-01-01,1,0
,Himalaya Ride,ATTR,2018-01-01 09:29:00.000,2018-01-01 22:00:00.000,2018-01-02 07:48:33.000,2018-01-01,1,0
,Flying Coaster,ATTR,2018-01-01 09:22:00.000,2018-01-01 22:13:00.000,2018-01-02 07:43:47.000,2018-01-01,1,0
,Water Ride,ATTR,2018-01-01 09:20:00.000,2018-01-01 21:00:00.000,2018-01-02 07:50:30.000,2018-01-01,1,0
,Merry Go Round,ATTR,2018-01-01 09:24:00.000,2018-01-01 22:00:00.000,2018-01-02 07:52:37.000,2018-01-01,1,0
,Oz Theatre,ATTR,2018-01-01 11:00:00.000,2018-01-01 16:14:00.000,2018-01-02 07:46:01.000,2018-01-01,1,0
,Bungee Jump,ATTR,2018-01-01 09:26:00.000,2018-01-01 22:08:00.000,2018-01-02 07:43:47.000,2018-01-01,1,0
,Free Fall,ATTR,2018-01-01 10:00:00.000,2018-01-01 17:50:00.000,2018-01-02 07:53:26.000,2018-01-01,1,0
,PortAventura World,PARK,2018-01-02 09:00:00.000,2018-01-02 22:00:00.000,2018-01-03 09:38:13.000,2018-01-02,0,0
,Haunted House,ATTR,2018-01-02 08:46:00.000,2018-01-02 20:54:00.000,2018-01-03 09:38:02.000,2018-01-02,0,0
,Go-Karts,ATTR,2018-01-02 09:00:00.000,2018-01-02 22:11:00.000,2018-01-03 09:37:59.000,2018-01-02,0,0
,Giant Wheel,ATTR,2018-01-02 09:00:00.000,2018-01-02 22:10:00.000,2018-01-03 09:38:05.000,2018-01-02,0,0
,Spinning Coaster,ATTR,2018-01-02 09:00:00.000,2018-01-02 22:17:00.000,2018-01-03 09:37:59.000,2018-01-02,0,0
,Water Ride,ATTR,2018-01-02 08:32:00.000,2018-01-02 21:15:00.000,2018-01-03 09:38:02.000,2018-01-02,0,0
,Merry Go Round,ATTR,2018-01-02 09:00:00.000,2018-01-02 22:10:00.000,2018-01-03 09:38:05.000,2018-01-02,0,0
,Superman Ride,ATTR,2018-01-02 09:32:00.000,2018-01-02 17:15:00.000,2018-01-03 09:38:05.000,2018-01-02,0,0
,Inverted Coaster,ATTR,2018-01-02 09:39:00.000,2018-01-02 17:00:00.000,2018-01-03 09:38:05.000,2018-01-02,0,0
,Himalaya Ride,ATTR,2018-01-02 09:00:00.000,2018-01-02 22:13:00.000,2018-01-03 09:38:01.000,2018-01-02,0,0
,Dizzy Dropper,ATTR,2018-01-02 08:00:00.000,2018-01-02 21:18:00.000,2018-01-03 09:38:02.000,2018-01-02,0,0
,Flying Coaster,ATTR,2018-01-02 09:00:00.000,2018-01-02 22:16:00.000,2018-01-03 09:37:58.000,2018-01-02,0,0
,Circus Train,ATTR,2018-01-02 08:54:00.000,2018-01-02 17:26:00.000,2018-01-03 09:38:04.000,2018-01-02,0,0
,Drop Tower,ATTR,2018-01-02 08:00:00.000,2018-01-02 21:12:00.000,2018-01-03 09:38:02.000,2018-01-02,0,0
,Zipline,ATTR,2018-01-02 08:58:00.000,2018-01-02 22:18:00.000,2018-01-03 09:38:01.000,2018-01-02,0,0
,Bungee Jump,ATTR,2018-01-02 09:00:00.000,2018-01-02 22:08:00.000,2018-01-03 09:37:58.000,2018-01-02,0,0
